,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
920,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2022.0,725400.0,748700.0,805100.0,846700.0,854300.0,838100.0,797500.0,775000.0,745000.0,674500.0,678000.0,0.0,Regis
921,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2021.0,624400.0,627200.0,631500.0,642200.0,658500.0,671800.0,689400.0,689200.0,689400.0,700200.0,708900.0,719800.0,Regis
922,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2020.0,673300.0,671900.0,684300.0,684100.0,667500.0,624600.0,608900.0,598000.0,599700.0,603700.0,610800.0,617600.0,Regis
923,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2019.0,565000.0,564100.0,560500.0,562200.0,580500.0,589100.0,610200.0,614100.0,655700.0,662200.0,670000.0,674300.0,Regis
924,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2018.0,523800.0,527500.0,535900.0,544000.0,546700.0,547800.0,550500.0,552900.0,558600.0,561800.0,561200.0,566700.0,Regis
925,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2017.0,484700.0,494700.0,504200.0,503300.0,508000.0,509300.0,509200.0,508400.0,511600.0,514000.0,518800.0,523600.0,Regis
926,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2016.0,470900.0,486600.0,455000.0,455100.0,453700.0,458700.0,461000.0,463700.0,466100.0,468500.0,473100.0,475400.0,Regis
927,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2015.0,426100.0,434800.0,437200.0,437700.0,415900.0,430700.0,431300.0,448900.0,457400.0,465900.0,469000.0,469000.0,Regis
928,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2014.0,226600.0,216300.0,180200.0,216600.0,292900.0,299200.0,302100.0,357900.0,357900.0,313700.0,320400.0,325100.0,Regis
929,13292327,https://www.zillow.com/homedetails/4819-King-St-Denver-CO-80221/13292327_zpid/,689000.0,"4819 King Street, Denver, CO 80221",4819 King Street,Denver,CO,80221,672788.0,2013.0,292000.0,301100.0,291600.0,306200.0,256400.0,251400.0,274000.0,273500.0,277100.0,274400.0,267600.0,257000.0,Regis
3030,13293278,https://www.zillow.com/homedetails/5186-Tennyson-St-Denver-CO-80212/13293278_zpid/,625000.0,"5186 Tennyson Street, Denver, CO 80212",5186 Tennyson Street,Denver,CO,80212,624300.0,2022.0,635900.0,651800.0,697200.0,719200.0,727900.0,708400.0,682400.0,663500.0,655600.0,614800.0,625000.0,0.0,Regis
