,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
960,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2022.0,2000000.0,2000000.0,2200000.0,2200000.0,2300000.0,2200000.0,2100000.0,2000000.0,2000000.0,1800000.0,1800000.0,0.0,Sloan Lake
961,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2021.0,1400000.0,1400000.0,1500000.0,1600000.0,1600000.0,1800000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,1900000.0,Sloan Lake
962,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2020.0,1300000.0,1300000.0,1300000.0,1300000.0,1400000.0,1400000.0,1300000.0,1300000.0,1300000.0,1400000.0,1400000.0,1400000.0,Sloan Lake
963,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2019.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,Sloan Lake
964,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2018.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,Sloan Lake
965,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2017.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1200000.0,1200000.0,1200000.0,1100000.0,1200000.0,1200000.0,1200000.0,Sloan Lake
966,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2016.0,891400.0,882100.0,871500.0,898400.0,907200.0,1000000.0,1000000.0,1000000.0,1100000.0,1100000.0,1000000.0,1100000.0,Sloan Lake
967,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2015.0,622700.0,626200.0,620500.0,640500.0,801600.0,777200.0,806700.0,808600.0,827300.0,837000.0,855200.0,860100.0,Sloan Lake
968,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2014.0,481800.0,494300.0,502200.0,481000.0,557200.0,529000.0,564900.0,526200.0,421400.0,471000.0,527800.0,543000.0,Sloan Lake
969,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,1799999.0,"3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199.0,2013.0,451600.0,437500.0,460800.0,469600.0,383000.0,350000.0,339900.0,410100.0,436500.0,507600.0,490100.0,485000.0,Sloan Lake
