,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
810,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2022.0,0.0,0.0,0.0,3600000.0,3400000.0,3400000.0,2400000.0,2500000.0,2400000.0,3200000.0,3100000.0,0.0,South Park Hill
811,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Park Hill
812,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Park Hill
813,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Park Hill
814,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Park Hill
815,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Park Hill
816,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Park Hill
817,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Park Hill
818,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Park Hill
819,318397647,https://www.zillow.com/homedetails/1930-Albion-St-Denver-CO-80220/318397647_zpid/,3150000.0,"1930 Albion Street, Denver, CO 80220",1930 Albion Street,Denver,CO,80220,3064090.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Park Hill
940,13289205,https://www.zillow.com/homedetails/1535-Newport-St-Denver-CO-80220/13289205_zpid/,799999.0,"1535 Newport Street, Denver, CO 80220",1535 Newport Street,Denver,CO,80220,788529.0,2022.0,616100.0,619800.0,676700.0,703600.0,708300.0,704800.0,684100.0,661400.0,650200.0,786900.0,800000.0,0.0,South Park Hill
941,13289205,https://www.zillow.com/homedetails/1535-Newport-St-Denver-CO-80220/13289205_zpid/,799999.0,"1535 Newport Street, Denver, CO 80220",1535 Newport Street,Denver,CO,80220,788529.0,2021.0,608300.0,615300.0,618500.0,663500.0,676100.0,658800.0,638800.0,613900.0,604500.0,605800.0,605100.0,609000.0,South Park Hill
942,13289205,https://www.zillow.com/homedetails/1535-Newport-St-Denver-CO-80220/13289205_zpid/,799999.0,"1535 Newport Street, Denver, CO 80220",1535 Newport Street,Denver,CO,80220,788529.0,2020.0,544700.0,552500.0,552000.0,548100.0,556600.0,556400.0,556500.0,566300.0,567800.0,574900.0,583900.0,600600.0,South Park Hill
943,13289205,https://www.zillow.com/homedetails/1535-Newport-St-Denver-CO-80220/13289205_zpid/,799999.0,"1535 Newport Street, Denver, CO 80220",1535 Newport Street,Denver,CO,80220,788529.0,2019.0,522700.00000000006,517100.0,519500.0,515200.00000000006,516300.0,523800.0,525400.0,522100.0,526200.0,530500.0,534400.0,540700.0,South Park Hill
944,13289205,https://www.zillow.com/homedetails/1535-Newport-St-Denver-CO-80220/13289205_zpid/,799999.0,"1535 Newport Street, Denver, CO 80220",1535 Newport Street,Denver,CO,80220,788529.0,2018.0,509900.0,513400.0,509200.0,508300.0,511400.0,517300.0,516100.0,520100.0,524700.0,527700.0,515200.00000000006,514200.00000000006,South Park Hill
945,13289205,https://www.zillow.com/homedetails/1535-Newport-St-Denver-CO-80220/13289205_zpid/,799999.0,"1535 Newport Street, Denver, CO 80220",1535 Newport Street,Denver,CO,80220,788529.0,2017.0,496300.0,509200.0,515700.00000000006,508500.0,508100.0,513600.0,519500.0,521700.00000000006,523800.0,524500.0,523300.0,523800.0,South Park Hill
946,13289205,https://www.zillow.com/homedetails/1535-Newport-St-Denver-CO-80220/13289205_zpid/,799999.0,"1535 Newport Street, Denver, CO 80220",1535 Newport Street,Denver,CO,80220,788529.0,2016.0,473300.0,478700.0,474900.0,479500.0,469200.0,471300.0,470300.0,467900.0,467200.0,475800.0,481100.0,481500.0,South Park Hill
947,13289205,https://www.zillow.com/homedetails/1535-Newport-St-Denver-CO-80220/13289205_zpid/,799999.0,"1535 Newport Street, Denver, CO 80220",1535 Newport Street,Denver,CO,80220,788529.0,2015.0,376300.0,386400.0,404900.0,404100.0,441000.0,443900.0,449700.0,452000.0,455000.0,457400.0,459900.0,472100.0,South Park Hill
948,13289205,https://www.zillow.com/homedetails/1535-Newport-St-Denver-CO-80220/13289205_zpid/,799999.0,"1535 Newport Street, Denver, CO 80220",1535 Newport Street,Denver,CO,80220,788529.0,2014.0,369500.0,367600.0,368300.0,373400.0,379000.0,376600.0,384600.0,372400.0,375700.0,371800.0,376700.0,372000.0,South Park Hill
