,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
10,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323600.0,322200.0,323100.0,296800.0,0.0,Southmoor Park
11,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southmoor Park
12,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2020.0,240300.0,240300.0,244400.0,244700.0,244400.0,248100.0,245900.0,246300.0,249600.0,253600.0,256600.00000000003,259000.0,Southmoor Park
13,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2019.0,226900.0,235000.0,235700.0,237300.0,236500.0,236900.0,236900.0,237800.0,238400.0,236200.0,236700.0,240400.0,Southmoor Park
14,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2018.0,210100.0,211300.0,213500.0,217200.0,219000.0,218700.0,219100.0,239900.0,239900.0,235700.0,231300.0,226900.0,Southmoor Park
15,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2017.0,178600.0,183600.0,188800.0,190800.0,194000.0,195900.0,197700.0,196000.0,195100.0,197900.0,203800.0,209500.0,Southmoor Park
16,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2016.0,152200.0,155000.0,152300.0,154600.0,159700.0,167000.0,173000.0,177300.0,180500.0,177700.0,178800.0,177600.0,Southmoor Park
17,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2015.0,136400.0,137000.0,138800.0,144000.0,144600.0,142300.0,142600.0,142600.0,144100.0,145400.0,148100.0,149100.0,Southmoor Park
18,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2014.0,89300.0,88100.0,90300.0,87800.0,92600.0,92300.0,98400.0,95500.0,96600.0,97500.0,100100.0,104300.0,Southmoor Park
19,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2013.0,113000.0,113200.0,115500.0,120600.0,92900.0,88700.0,87600.0,92500.0,97400.0,93000.0,94200.0,92700.0,Southmoor Park
