,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
110,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2022.0,758400.0,771800.0,800700.0,817000.0,798400.0,764100.0,730900.0,690300.0,688000.0,775000.0,774600.0,0.0,Union Station
111,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2021.0,722900.0,734000.0,750600.0,792300.0,798800.0,772200.0,754400.0,742000.0,737000.0,739900.0,748200.0,751600.0,Union Station
112,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2020.0,703500.0,733200.0,750700.0,748800.0,745000.0,751300.0,752600.0,742900.0,743300.0,737300.0,732800.0,731700.0,Union Station
113,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2019.0,712800.0,725100.0,721400.0,689700.0,681300.0,691800.0,692700.0,696300.0,693800.0,693300.0,694900.0,702700.0,Union Station
114,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2018.0,680500.0,674400.0,718800.0,727200.0,731200.0,737300.0,736900.0,733300.0,725300.0,727800.0,719200.0,714200.0,Union Station
115,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2017.0,593800.0,606200.0,621600.0,618100.0,617300.0,626200.0,609900.0,627600.0,638700.0,635300.0,654900.0,688300.0,Union Station
116,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2016.0,622000.0,628400.0,631700.0,629100.0,638800.0,634300.0,629500.0,615900.0,622100.0,615800.0,599000.0,606200.0,Union Station
117,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2015.0,544900.0,556400.0,567800.0,595300.0,583000.0,591400.0,600900.0,609200.0,615700.0,603300.0,606400.0,614700.0,Union Station
118,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2014.0,492600.0,492200.0,495700.0,507400.0,518200.00000000006,513000.0,512200.00000000006,517400.0,522100.0,524900.0,532400.0,537500.0,Union Station
119,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2013.0,456600.0,457600.0,463500.0,468000.0,475400.0,476800.0,484600.0,485400.0,485000.0,488700.0,486500.0,490300.0,Union Station
