,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
350,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2022.0,570200.0,586900.0,614600.0,621600.0,615100.0,594300.0,550500.0,529600.0,524400.0,587900.0,589400.0,0.0,Valverde
351,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2021.0,495500.0,497600.0,500000.0,509100.0,521800.0,531900.0,545100.0,545000.0,545500.0,554300.0,562000.0,570900.0,Valverde
352,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2020.0,370800.0,374700.0,380700.0,386000.0,484200.0,489000.0,470900.0,471200.0,472900.0,477200.0,484000.0,489900.0,Valverde
353,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2019.0,304000.0,303100.0,302200.0,304500.0,302400.0,303100.0,303000.0,304400.0,304900.0,319900.0,339000.0,359600.0,Valverde
354,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2018.0,281500.0,283600.0,287900.0,292800.0,294800.0,294900.0,296600.0,297400.0,300200.0,301700.0,302100.0,304300.0,Valverde
355,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2017.0,260400.0,264500.0,269700.0,269500.0,271500.0,272900.0,272900.0,272300.0,274200.0,275000.0,277100.0,279800.0,Valverde
356,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2016.0,246100.0,249600.0,247900.0,245700.0,245900.0,268000.0,248100.0,247900.0,245900.0,253400.0,255200.0,256800.0,Valverde
357,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2015.0,221600.0,227800.0,233900.0,233000.0,227500.0,227200.0,228900.0,239000.0,240400.0,242300.0,244700.0,252600.0,Valverde
358,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2014.0,194000.0,192200.0,194700.0,195800.0,201800.0,204400.0,203100.0,212500.0,210400.0,214500.0,216900.0,221100.0,Valverde
359,13341788,https://www.zillow.com/homedetails/2808-W-Bayaud-Ave-Denver-CO-80219/13341788_zpid/,599000.0,"2808 W Bayaud Avenue, Denver, CO 80219",2808 W Bayaud Avenue,Denver,CO,80219,587900.0,2013.0,162100.0,163100.0,165300.0,167400.0,169400.0,173700.0,182700.0,183200.0,189100.0,187800.0,187700.0,191500.0,Valverde
