,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
690,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2022.0,863600.0,880300.0,995800.0,1100000.0,1100000.0,1100000.0,1000000.0,1000000.0,980500.0,784400.0,795000.0,0.0,Whittier
691,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2021.0,867600.0,869700.0,875100.0,926900.0,937200.0,921700.0,911700.0,879200.0,866600.0,871400.0,868800.0,863900.0,Whittier
692,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2020.0,803200.0,810400.0,828400.0,830600.0,833100.0,835500.0,831900.0,833600.0,846800.0,851600.0,854600.0,867200.0,Whittier
693,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2019.0,772200.0,812000.0,818100.0,817200.0,834400.0,821200.0,812600.0,809400.0,778500.0,782700.0,799800.0,803500.0,Whittier
694,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2018.0,708400.0,714600.0,750400.0,756900.0,729800.0,768800.0,785800.0,777600.0,782600.0,813400.0,771400.0,780800.0,Whittier
695,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2017.0,585500.0,597800.0,587700.0,587200.0,600100.0,598800.0,604200.0,622700.0,630800.0,617800.0,617600.0,623600.0,Whittier
696,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2016.0,642800.0,641200.0,649100.0,655500.0,671700.0,674300.0,665600.0,673800.0,670400.0,680600.0,682000.0,702900.0,Whittier
697,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2015.0,570000.0,558000.0,569700.0,600900.0,548700.0,586000.0,613200.0,635900.0,650800.0,660500.0,660500.0,660500.0,Whittier
698,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2014.0,497800.0,493500.0,470000.0,481300.0,481100.0,494000.0,501100.0,484700.0,473300.0,482500.0,546600.0,548000.0,Whittier
699,13320061,https://www.zillow.com/homedetails/2352-N-Race-St-Denver-CO-80205/13320061_zpid/,795000.0,"2352 N Race Street, Denver, CO 80205",2352 N Race Street,Denver,CO,80205,788826.0,2013.0,390200.0,397800.0,405500.0,404600.0,487900.0,492700.0,479400.0,475300.0,483300.0,490900.0,492100.0,496000.0,Whittier
