,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
4,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2018.0,616100.0,625400.0,631500.0,632500.0,643600.0,680500.0,687700.0,676200.0,673400.0,668100.0,671000.0,667200.0,University Park
14,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2018.0,210100.0,211300.0,213500.0,217200.0,219000.0,218700.0,219100.0,239900.0,239900.0,235700.0,231300.0,226900.0,Southmoor Park
24,82592344,https://www.zillow.com/homedetails/7471-E-6th-Ave-Denver-CO-80230/82592344_zpid/,2950000.0,"7471 E 6th Avenue, Denver, CO 80230",7471 E 6th Avenue,Denver,CO,80230,2950003.0,2018.0,2100000.0,2100000.0,2100000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2300000.0,2300000.0,Lowry Field
34,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2018.0,333600.0,336100.0,349900.0,354400.0,355900.0,354600.0,356700.0,358800.0,364000.0,369500.0,370400.0,371800.0,Montbello
44,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2018.0,299200.0,303600.0,304200.0,315900.0,322800.0,323500.0,326900.0,328800.0,327600.0,329100.0,335900.0,340800.0,Ruby Hill
54,13374082,https://www.zillow.com/homedetails/3966-E-Evans-Ave-Denver-CO-80210/13374082_zpid/,410000.0,"3966 E Evans Avenue, Denver, CO 80210",3966 E Evans Avenue,Denver,CO,80210,407112.0,2018.0,333000.0,342200.0,314300.0,318200.0,319800.0,310100.0,307700.0,319600.0,320000.0,325000.0,328900.0,317800.0,University Park
64,68047555,https://www.zillow.com/homedetails/9150-E-29th-Ave-Denver-CO-80238/68047555_zpid/,1400000.0,"9150 E 29th Avenue, Denver, CO 80238",9150 E 29th Avenue,Denver,CO,80238,1400004.0,2018.0,1000000.0,1000000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,Central Park
74,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2018.0,566900.0,574200.0,556300.0,555700.0,562100.0,562500.0,563900.0,563800.0,572200.0,569000.0,570700.0,575700.0,Five Points
84,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2018.0,1300000.0,1200000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,Cory - Merrill
94,251843409,https://www.zillow.com/homedetails/6038-N-Dallas-St-Denver-CO-80238/251843409_zpid/,2100000.0,"6038 Dallas Street, Denver, CO 80238",6038 Dallas Street,Denver,CO,80238,2048966.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Park
104,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2018.0,268600.0,270600.0,275100.0,278100.0,280000.0,281400.0,282800.0,283300.0,285500.0,286600.0,291800.0,293300.0,Hampden South
114,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2018.0,680500.0,674400.0,718800.0,727200.0,731200.0,737300.0,736900.0,733300.0,725300.0,727800.0,719200.0,714200.0,Union Station
