,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,info2String,info6String,streetViewMetadataURL,streetViewURL,isPropertyResultCDP,builderName,lotAreaString,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
0,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2022.0,$827K,$855.4K,$917.4K,$940.8K,$945.7K,$926.7K,$894.5K,$825K,$775K,$688.3K,$686.8K,,University Park
1,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2021.0,$718.6K,$743.9K,$751.3K,$810.2K,$825.6K,$842K,$828.2K,$809K,$802.3K,$804.7K,$806.3K,$815.6K,University Park
2,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2020.0,$652.2K,$650.3K,$660.2K,$665.9K,$661.1K,$661.6K,$671.5K,$673.8K,$690.1K,$698.7K,$714.9K,$720.3K,University Park
3,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2019.0,$674.9K,$661.5K,$672.1K,$680K,$708.1K,$687K,$692.3K,$690.1K,$666.5K,$661K,$663.9K,$659.6K,University Park
4,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2018.0,$616.1K,$625.4K,$631.5K,$632.5K,$643.6K,$680.5K,$687.7K,$676.2K,$673.4K,$668.1K,$671K,$667.2K,University Park
5,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2017.0,$599.2K,$625.2K,$635.8K,$630.4K,$626.1K,$617.5K,$610.4K,$625.8K,$614K,$602.1K,$608.9K,$613.4K,University Park
6,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2016.0,$530K,$544K,$544.6K,$553.8K,$551.4K,$562K,$573.9K,$574.7K,$586.6K,$581.1K,$596.4K,$606.1K,University Park
7,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2015.0,$561K,$580.6K,$588.4K,$584.2K,$497.8K,$505.9K,$517K,$520.7K,$519K,$522.8K,$521.9K,$526.5K,University Park
8,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2014.0,$482.3K,$485.8K,$482.6K,$485.7K,$513.9K,$507.1K,$501.5K,$510.7K,$501K,$513.8K,$526.8K,$522.2K,University Park
9,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,"$700,000","1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,,,,,,,,2013.0,$438.9K,$432K,$436.8K,$452.1K,$450K,$482.3K,$471K,$474.5K,$488.6K,$492.8K,$490.8K,$475.8K,University Park
