,Date,Time,Temperature,DewPoint,Humidity,Wind,WinSpeed,WindGust,Pressure,Precip.,Condition
130127,2019-01-02,1:53 AM,5,-3,70,S,7,0,24.54,0.0,Fair
130128,2019-01-01,1:53 AM,-1,-4,87,ESE,8,0,24.71,0.0,Mostly Cloudy
130129,2019-01-01,2:53 AM,-1,-5,83,SE,6,0,24.71,0.0,Cloudy
130130,2019-01-01,3:53 AM,1,-3,83,SSE,7,0,24.71,0.0,Cloudy
130135,2019-01-02,2:53 AM,5,-3,70,SSE,12,0,24.56,0.0,Fair
130136,2019-01-02,3:53 AM,8,-1,67,WSW,7,0,24.57,0.0,Partly Cloudy
130137,2019-01-02,4:53 AM,3,-3,76,SSW,7,0,24.56,0.0,Fair
130138,2019-01-02,5:53 AM,12,3,67,SW,16,0,24.56,0.0,Fair
130139,2019-01-02,6:53 AM,15,4,61,SW,16,0,24.55,0.0,Partly Cloudy
130140,2019-01-02,7:53 AM,17,4,56,SSW,16,0,24.56,0.0,Partly Cloudy
130141,2019-01-02,8:53 AM,18,4,54,SSW,14,0,24.58,0.0,Fair
130142,2019-01-02,9:53 AM,20,5,52,SW,13,0,24.61,0.0,Fair
130143,2019-01-02,10:53 AM,25,8,49,SW,12,0,24.61,0.0,Fair
130144,2019-01-02,11:53 AM,28,10,47,SSW,10,0,24.59,0.0,Fair
130145,2019-01-02,12:53 PM,32,10,40,SSW,10,0,24.56,0.0,Fair
130146,2019-01-02,1:53 PM,36,9,33,S,8,0,24.54,0.0,Fair
130147,2019-01-01,4:53 AM,1,-3,83,SE,7,0,24.68,0.0,Mostly Cloudy
130148,2019-01-01,5:53 AM,1,-3,83,SE,8,0,24.67,0.0,Cloudy
130149,2019-01-01,6:53 AM,1,-3,83,SE,6,0,24.66,0.0,Cloudy
130150,2019-01-01,7:53 AM,-1,-5,83,E,5,0,24.66,0.0,Mostly Cloudy
130151,2019-01-01,8:53 AM,-3,-7,82,SSE,5,0,24.68,0.0,Mostly Cloudy
130152,2019-01-01,9:53 AM,-4,-8,83,SSE,6,0,24.67,0.0,Mostly Cloudy
130153,2019-01-01,10:53 AM,6,-1,73,ENE,3,0,24.65,0.0,Mostly Cloudy
130154,2019-01-01,11:53 AM,9,0,67,CALM,0,0,24.64,0.0,Partly Cloudy
130155,2019-01-01,12:53 PM,9,-1,64,E,8,0,24.6,0.0,Partly Cloudy
130156,2019-01-01,1:53 PM,10,-1,61,NE,6,0,24.56,0.0,Partly Cloudy
130157,2019-01-01,2:53 PM,11,0,61,ENE,5,0,24.56,0.0,Fair
130158,2019-01-01,3:53 PM,11,0,61,CALM,0,0,24.56,0.0,Partly Cloudy
130159,2019-01-03,1:53 AM,23,7,50,SSW,10,0,24.56,0.0,Fair
130160,2019-01-04,1:53 AM,35,19,52,S,3,0,24.52,0.0,Fair
130164,2019-01-02,2:53 PM,37,15,41,SSE,9,0,24.53,0.0,Fair
130165,2019-01-02,3:53 PM,38,12,35,SSE,5,0,24.54,0.0,Fair
130166,2019-01-02,4:53 PM,38,13,36,SSE,3,0,24.54,0.0,Fair
130167,2019-01-02,5:53 PM,35,13,40,SSE,3,0,24.54,0.0,Fair
130168,2019-01-02,6:53 PM,32,16,52,CALM,0,0,24.56,0.0,Partly Cloudy
130169,2019-01-02,7:53 PM,27,12,53,S,6,0,24.56,0.0,Fair
